omega,Re_G_fit,Im_G_fit
2.9412223223e+00,2.4295381147e-01,-3.3452554330e-01
2.9857780162e+00,2.3818373798e-01,-3.3437263267e-01
3.0310086710e+00,2.3344484605e-01,-3.3412545796e-01
3.0769245113e+00,2.2871982581e-01,-3.3377266070e-01
3.1235359170e+00,2.2399153156e-01,-3.3330367676e-01
3.1708534248e+00,2.1924405576e-01,-3.3270936517e-01
3.2188877314e+00,2.1446359014e-01,-3.3198265791e-01
3.2676496952e+00,2.0963917485e-01,-3.3111907336e-01
3.3171503394e+00,2.0476340624e-01,-3.3011698584e-01
3.3674008540e+00,1.9983310409e-01,-3.2897761695e-01
3.4184125985e+00,1.9484986194e-01,-3.2770478811e-01
3.4701971047e+00,1.8982035051e-01,-3.2630452393e-01
3.5227660788e+00,1.8475623530e-01,-3.2478461249e-01
3.5761314044e+00,1.7967361085e-01,-3.2315420982e-01
3.6303051454e+00,1.7459193446e-01,-3.2142353424e-01
3.6852995482e+00,1.6953254051e-01,-3.1960364631e-01
3.7411270446e+00,1.6451690464e-01,-3.1770627138e-01
3.7978002550e+00,1.5956488375e-01,-3.1574360298e-01
3.8553319909e+00,1.5469316900e-01,-3.1372803152e-01
3.9137352577e+00,1.4991415272e-01,-3.1167176839e-01
3.9730232581e+00,1.4523533889e-01,-3.0958637052e-01
4.0332093946e+00,1.4065933484e-01,-3.0748220438e-01
4.0943072729e+00,1.3618437225e-01,-3.0536791206e-01
4.1563307045e+00,1.3180523263e-01,-3.0324995106e-01
4.2192937105e+00,1.2751440954e-01,-3.0113227318e-01
4.2832105242e+00,1.2330332799e-01,-2.9901618975e-01
4.3480955945e+00,1.1916345987e-01,-2.9690044419e-01
4.4139635892e+00,1.1508721282e-01,-2.9478148534e-01
4.4808293984e+00,1.1106852058e-01,-2.9265390933e-01
4.5487081377e+00,1.0710311491e-01,-2.9051101893e-01
4.6176151516e+00,1.0318850576e-01,-2.8834543864e-01
4.6875660172e+00,9.9323731995e-02,-2.8614972261e-01
4.7585765475e+00,9.5508966824e-02,-2.8391689926e-01
4.8306627949e+00,9.1745069673e-02,-2.8164091021e-01
4.9038410553e+00,8.8033170067e-02,-2.7931691852e-01
4.9781278712e+00,8.4374350958e-02,-2.7694147990e-01
5.0535400357e+00,8.0769471933e-02,-2.7451258809e-01
5.1300945965e+00,7.7219140760e-02,-2.7202961932e-01
5.2078088593e+00,7.3723809693e-02,-2.6949320886e-01
5.2867003922e+00,7.0283946459e-02,-2.6690509542e-01
5.3667870292e+00,6.6900214146e-02,-2.6426796439e-01
5.4480868747e+00,6.3573593124e-02,-2.6158531194e-01
5.5306183071e+00,6.0305393110e-02,-2.5886133818e-01
5.6143999834e+00,5.7097132227e-02,-2.5610086440e-01
5.6994508431e+00,5.3950296832e-02,-2.5330925688e-01
5.7857901128e+00,5.0866032358e-02,-2.5049233355e-01
5.8734373102e+00,4.7844841988e-02,-2.4765622967e-01
5.9624122486e+00,4.4886378504e-02,-2.4480720598e-01
6.0527350417e+00,4.1989400687e-02,-2.4195139572e-01
6.1444261076e+00,3.9151930443e-02,-2.3909450277e-01
6.2375061740e+00,3.6371597184e-02,-2.3624147787e-01
6.3319962823e+00,3.3646103746e-02,-2.3339621075e-01
6.4279177930e+00,3.0973706840e-02,-2.3056127910e-01
6.5252923898e+00,2.8353587183e-02,-2.2773779067e-01
6.6241420851e+00,2.5785997625e-02,-2.2492534276e-01
6.7244892248e+00,2.3272122143e-02,-2.2212210633e-01
6.8263564932e+00,2.0813646775e-02,-2.1932502525e-01
6.9297669182e+00,1.8412120383e-02,-2.1653010682e-01
7.0347438768e+00,1.6068249667e-02,-2.1373277332e-01
7.1413110997e+00,1.3781310097e-02,-2.1092824374e-01
7.2494926775e+00,1.1548848797e-02,-2.0811192124e-01
7.3593130656e+00,9.3668027264e-03,-2.0527976931e-01
7.4707970898e+00,7.2300634804e-03,-2.0242866634e-01
7.5839699519e+00,5.1334079260e-03,-1.9955673057e-01
7.6988572358e+00,3.0726088335e-03,-1.9666360427e-01
7.8154849127e+00,1.0454703284e-03,-1.9375067841e-01
7.9338793472e+00,-9.4747808063e-04,-1.9082122859e-01
8.0540673034e+00,-2.9028384578e-03,-1.8788042475e-01
8.1760759509e+00,-4.8148452585e-03,-1.8493517448e-01
8.2999328708e+00,-6.6764509108e-03,-1.8199376938e-01
8.4256660620e+00,-8.4807862401e-03,-1.7906532797e-01
8.5533039476e+00,-1.0222675325e-02,-1.7615906438e-01
8.6828753811e+00,-1.1899845639e-02,-1.7328345268e-01
8.8144096534e+00,-1.3513522258e-02,-1.7044539015e-01
8.9479364989e+00,-1.5068223350e-02,-1.6764947755e-01
9.0834861025e+00,-1.6570756991e-02,-1.6489752559e-01
9.2210891064e+00,-1.8028616157e-02,-1.6218836453e-01
9.3607766168e+00,-1.9448133594e-02,-1.5951798535e-01
9.5025802114e+00,-2.0832849519e-02,-1.5687998676e-01
9.6465319461e+00,-2.2182533862e-02,-1.5426625112e-01
9.7926643624e+00,-2.3493182716e-02,-1.5166773605e-01
9.9410104948e+00,-2.4758092270e-02,-1.4907525449e-01
1.0091603878e+01,-2.5969844434e-02,-1.4648013345e-01
1.0244478556e+01,-2.7122778145e-02,-1.4387468877e-01
1.0399669085e+01,-2.8215337672e-02,-1.4125252025e-01
1.0557210550e+01,-2.9251643074e-02,-1.3860869396e-01
1.0717138563e+01,-3.0241749325e-02,-1.3593991276e-01
1.0879489278e+01,-3.1200339569e-02,-1.3324476616e-01
1.1044299394e+01,-3.2143980382e-02,-1.3052409957e-01
1.1211606170e+01,-3.3087463471e-02,-1.2778146986e-01
1.1381447426e+01,-3.4040063999e-02,-1.2502358036e-01
