omega,Re_G_fit,Im_G_fit
4.8821730861e+02,-3.4238154579e-04,2.3098197316e-04
4.9561316604e+02,-3.0846807965e-04,2.5728868877e-04
5.0312106110e+02,-2.7488350675e-04,2.7628387720e-04
5.1074269100e+02,-2.4324713157e-04,2.8811384985e-04
5.1847977869e+02,-2.1460227784e-04,2.9360668589e-04
5.2633407319e+02,-1.8934102836e-04,2.9395365124e-04
5.3430735005e+02,-1.6731890045e-04,2.9043888705e-04
5.4240141168e+02,-1.4807535245e-04,2.8425491475e-04
5.5061808782e+02,-1.3107228687e-04,2.7639944766e-04
5.5895923592e+02,-1.1588663659e-04,2.6763411159e-04
5.6742674157e+02,-1.0232524556e-04,2.5848805783e-04
5.7602251892e+02,-9.0457409521e-05,2.4929300649e-04
5.8474851112e+02,-8.0577318860e-05,2.4023355416e-04
5.9360669076e+02,-7.3116130453e-05,2.3139176939e-04
6.0259906030e+02,-6.8524822446e-05,2.2276726217e-04
6.1172765254e+02,-6.7146789930e-05,2.1426814588e-04
6.2099453109e+02,-6.9095182433e-05,2.0569079986e-04
6.3040179081e+02,-7.4148270905e-05,1.9672536918e-04
6.3995155827e+02,-8.1681805230e-05,1.8702518756e-04
6.4964599229e+02,-9.0668815254e-05,1.7635199239e-04
6.5948728439e+02,-9.9779416229e-05,1.6475841512e-04
6.6947765926e+02,-1.0758544973e-04,1.5271927192e-04
6.7961937533e+02,-1.1281776789e-04,1.4111373167e-04
6.8991472520e+02,-1.1457721922e-04,1.3101714732e-04
7.0036603624e+02,-1.1241669388e-04,1.2336075763e-04
7.1097567106e+02,-1.0629697448e-04,1.1859503653e-04
7.2174602804e+02,-9.6507338114e-05,1.1650003790e-04
7.3267954193e+02,-8.3648823611e-05,1.1623164968e-04
7.4377868434e+02,-6.8687397483e-05,1.1661044241e-04
7.5504596433e+02,-5.2975347909e-05,1.1656563241e-04
7.6648392895e+02,-3.8125546841e-05,1.1555765347e-04
7.7809516387e+02,-2.5741219628e-05,1.1377933615e-04
7.8988229391e+02,-1.7152578328e-05,1.1203529559e-04
8.0184798363e+02,-1.3338201101e-05,1.1137313113e-04
8.1399493800e+02,-1.5076993298e-05,1.1264879169e-04
8.2632590293e+02,-2.3207838414e-05,1.1618075709e-04
8.3884366594e+02,-3.8810357969e-05,1.2156620660e-04
8.5155105680e+02,-6.3203462876e-05,1.2772072800e-04
8.6445094810e+02,-9.7847219649e-05,1.3327140982e-04
8.7754625597e+02,-1.4443165281e-04,1.3747744341e-04
8.9083994074e+02,-2.0545218269e-04,1.4182399987e-04
9.0433500755e+02,-2.8513716712e-04,1.5248560391e-04
9.1803450707e+02,-3.8948389237e-04,1.8409179843e-04
9.3194153620e+02,-5.2234395204e-04,2.6488023808e-04
9.4605923874e+02,-6.7305118435e-04,4.4002567440e-04
9.6039080611e+02,-7.9508891819e-04,7.6199403825e-04
9.7493947809e+02,-7.9350422364e-04,1.2528265347e-03
9.8970854354e+02,-5.6261443270e-04,1.8489138083e-03
1.0047013411e+03,-9.1035205427e-05,2.3946132511e-03
1.0199212601e+03,4.5057018757e-04,2.7410205933e-03
1.0353717411e+03,7.6469109740e-04,2.8571295567e-03
1.0510562767e+03,6.0876793770e-04,2.7779053415e-03
1.0669784127e+03,-1.8680364539e-05,2.4303359621e-03
1.0831417483e+03,-7.5732792044e-04,1.6555331797e-03
1.0995499375e+03,-1.0263670536e-03,5.8517874692e-04
1.1162066894e+03,-6.3015255642e-04,-1.9124749137e-04
1.1331157694e+03,-9.3806474451e-05,-2.9922834200e-04
1.1502810000e+03,8.9925904353e-05,-9.0198962247e-05
