time,g_time_Re,g_time_Im
-1.3635973100118595,-1.2438480169377887e-06,-0.00014635893737737692
-1.3608673854672912,-1.7164384894451693e-06,-0.00014635893737737816
-1.3581374609227228,-2.1552044144142968e-06,-0.0001463589373773769
-1.3554075363781546,-2.628531624999018e-06,-0.00014635893737737765
-1.3526776118335864,-3.0667191688207477e-06,-0.00014635893737737776
-1.349947687289018,-3.540824765537472e-06,-0.00014635893737737716
-1.3472177627444497,-3.978462258353141e-06,-0.0001463589373773777
-1.3444878381998815,-4.453388154794604e-06,-0.0001463589373773769
-1.3417579136553133,-4.890503685037461e-06,-0.0001463589373773781
-1.3390279891107448,-5.366292211418201e-06,-0.00014635893737737754
-1.3362980645661766,-5.802913513835872e-06,-0.00014635893737737705
-1.3335681400216084,-6.279607137027136e-06,-0.00014635893737737618
-1.33083821547704,-6.715761684367933e-06,-0.000146358937377378
-1.3281082909324717,-7.193403599319548e-06,-0.00014635893737737808
-1.3253783663879035,-7.629118760842993e-06,-0.0001463589373773758
-1.322648441843335,-8.107752432482821e-06,-0.00014635893737737656
-1.3199185172987669,-8.54305493222136e-06,-0.0001463589373773755
-1.3171885927541986,-9.022724417368287e-06,-0.000146358937377377
-1.3144586682096302,-9.457640769582806e-06,-0.00014635893737737824
-1.311728743665062,-9.938390596045175e-06,-0.0001463589373773773
-1.3089988191204938,-1.0372946914278223e-05,-0.00014635893737737767
-1.3062688945759253,-1.0854822678495324e-05,-0.00014635893737737786
-1.303538970031357,-1.1289044637846193e-05,-0.00014635893737737735
-1.3008090454867889,-1.1772091963807173e-05,-0.00014635893737737686
-1.2980791209422207,-1.220600441011891e-05,-0.00014635893737737675
-1.2953491963976522,-1.2690270397572179e-05,-0.00014635893737737727
-1.292619271853084,-1.3123898082478403e-05,-0.000146358937377376
-1.2898893473085158,-1.3609430244892076e-05,-0.0001463589373773767
-1.2871594227639473,-1.4042796821453438e-05,-0.00014635893737737656
-1.2844294982193791,-1.4529644073373312e-05,-0.00014635893737737656
-1.281699573674811,-1.4962772993969898e-05,-0.00014635893737737686
-1.2789696491302425,-1.5450984936526472e-05,-0.00014635893737737814
-1.2762397245856743,-1.5883898192317028e-05,-0.00014635893737737662
-1.273509800041106,-1.6373525786242955e-05,-0.00014635893737737803
-1.2707798754965376,-1.680624514963782e-05,-0.00014635893737737822
-1.2680499509519694,-1.7297340722177906e-05,-0.0001463589373773774
-1.2653200264074012,-1.7729886452535527e-05,-0.00014635893737737738
-1.2625901018628327,-1.8222503580905487e-05,-0.0001463589373773771
-1.2598601773182645,-1.8654895256449728e-05,-0.0001463589373773789
-1.2571302527736963,-1.91490890958883e-05,-0.00014635893737737857
-1.254400328229128,-1.9581344671604596e-05,-0.0001463589373773783
-1.2516704036845596,-2.0077172569322545e-05,-0.00014635893737737616
-1.2489404791399914,-2.0509309646240153e-05,-0.00014635893737737727
-1.2462105545954232,-2.1006829987549102e-05,-0.0001463589373773791
-1.2434806300508547,-2.1438862816268404e-05,-0.00014635893737737735
-1.2407507055062865,-2.1938136349991294e-05,-0.00014635893737737626
-1.2380207809617183,-2.2370079719885103e-05,-0.00014635893737737767
-1.2352908564171499,-2.287116967032322e-05,-0.00014635893737737664
-1.2325609318725816,-2.330303486380442e-05,-0.00014635893737737656
-1.2298310073280134,-2.3806006654513538e-05,-0.00014635893737737664
-1.2271010827834452,-2.4237804587152913e-05,-0.00014635893737737683
-1.2243711582388768,-2.4742726235605884e-05,-0.0001463589373773762
-1.2216412336943085,-2.517446378566084e-05,-0.00014635893737737626
-1.2189113091497403,-2.5681406157794074e-05,-0.00014635893737737795
-1.216181384605172,-2.6113090125036197e-05,-0.0001463589373773763
-1.2134514600606037,-2.66221271322855e-05,-0.00014635893737737773
-1.2107215355160355,-2.7053758907592188e-05,-0.00014635893737737602
-1.207991610971467,-2.756496778082258e-05,-0.00014635893737737705
-1.2052616864268988,-2.7996549418010874e-05,-0.0001463589373773766
-1.2025317618823306,-2.8510011330823747e-05,-0.00014635893737737613
-1.1998018373377621,-2.8941537785219985e-05,-0.00014635893737737635
-1.197071912793194,-2.9457337092987512e-05,-0.00014635893737737678
-1.1943419882486257,-2.9888804344266318e-05,-0.00014635893737737694
-1.1916120637040573,-3.0407030697215097e-05,-0.0001463589373773781
-1.188882139159489,-3.0838426216086464e-05,-0.0001463589373773778
-1.1861522146149208,-3.1359172453121894e-05,-0.00014635893737737743
-1.1834222900703524,-3.1790485230686413e-05,-0.00014635893737737862
-1.1806923655257842,-3.2313851088473454e-05,-0.00014635893737737876
-1.177962440981216,-3.274505967646446e-05,-0.00014635893737737713
-1.1752325164366477,-3.3271147637266e-05,-0.00014635893737737898
-1.1725025918920793,-3.3702232418252074e-05,-0.00014635893737737765
-1.169772667347511,-3.423115380028315e-05,-0.0001463589373773776
-1.1670427428029428,-3.466208292291738e-05,-0.00014635893737737795
-1.1643128182583744,-3.519395149623607e-05,-0.0001463589373773773
-1.1615828937138062,-3.5624695380081835e-05,-0.00014635893737737673
-1.158852969169238,-3.615963619292569e-05,-0.00014635893737737735
-1.1561230446246695,-3.659015069333123e-05,-0.00014635893737737754
-1.1533931200801013,-3.7128290139358856e-05,-0.00014635893737737683
-1.150663195535533,-3.7558534042337325e-05,-0.00014635893737737857
-1.1479332709909649,-3.810001359453926e-05,-0.0001463589373773783
-1.1452033464463964,-3.852992857568306e-05,-0.00014635893737737784
-1.1424734219018282,-3.907488881018762e-05,-0.00014635893737737645
-1.13974349735726,-3.9504419738675884e-05,-0.0001463589373773772
-1.1370135728126916,-4.005302098898636e-05,-0.00014635893737737624
-1.1342836482681233,-4.048209319487812e-05,-0.0001463589373773788
-1.1315537237235551,-4.1034492573108767e-05,-0.00014635893737737694
-1.1288237991789867,-4.146303512226527e-05,-0.00014635893737737713
