omega,Re_G,Im_G
 9.36306114e-01, 5.35293689e-01,-2.04530681e-01
 9.39836203e-01, 5.34813249e-01,-2.05158109e-01
 9.43379602e-01, 5.34330448e-01,-2.05786059e-01
 9.46936360e-01, 5.33845261e-01,-2.06414510e-01
 9.50506528e-01, 5.33357666e-01,-2.07043440e-01
 9.54090156e-01, 5.32867634e-01,-2.07672828e-01
 9.57687295e-01, 5.32375142e-01,-2.08302652e-01
 9.61297996e-01, 5.31880161e-01,-2.08932892e-01
 9.64922311e-01, 5.31382664e-01,-2.09563525e-01
 9.68560289e-01, 5.30882623e-01,-2.10194531e-01
 9.72211984e-01, 5.30380010e-01,-2.10825889e-01
 9.75877447e-01, 5.29874795e-01,-2.11457577e-01
 9.79556729e-01, 5.29366949e-01,-2.12089575e-01
 9.83249883e-01, 5.28856442e-01,-2.12721861e-01
 9.86956961e-01, 5.28343244e-01,-2.13354415e-01
 9.90678016e-01, 5.27827323e-01,-2.13987216e-01
 9.94413100e-01, 5.27308649e-01,-2.14620243e-01
 9.98162266e-01, 5.26787190e-01,-2.15253475e-01
 1.00192557e+00, 5.26262916e-01,-2.15886893e-01
 1.00570306e+00, 5.25735793e-01,-2.16520475e-01
 1.00949479e+00, 5.25205790e-01,-2.17154201e-01
 1.01330082e+00, 5.24672875e-01,-2.17788050e-01
 1.01712119e+00, 5.24137016e-01,-2.18422003e-01
 1.02095597e+00, 5.23598180e-01,-2.19056040e-01
 1.02480521e+00, 5.23056335e-01,-2.19690139e-01
 1.02866896e+00, 5.22511449e-01,-2.20324282e-01
 1.03254728e+00, 5.21963489e-01,-2.20958448e-01
 1.03644022e+00, 5.21412424e-01,-2.21592618e-01
 1.04034784e+00, 5.20858221e-01,-2.22226772e-01
 1.04427019e+00, 5.20300848e-01,-2.22860889e-01
 1.04820733e+00, 5.19740274e-01,-2.23494952e-01
 1.05215931e+00, 5.19176466e-01,-2.24128939e-01
 1.05612619e+00, 5.18609394e-01,-2.24762833e-01
 1.06010803e+00, 5.18039026e-01,-2.25396613e-01
 1.06410488e+00, 5.17465332e-01,-2.26030261e-01
 1.06811680e+00, 5.16888281e-01,-2.26663757e-01
 1.07214385e+00, 5.16307842e-01,-2.27297083e-01
 1.07618608e+00, 5.15723986e-01,-2.27930220e-01
 1.08024355e+00, 5.15136685e-01,-2.28563149e-01
 1.08431631e+00, 5.14545907e-01,-2.29195852e-01
 1.08840444e+00, 5.13951626e-01,-2.29828310e-01
 1.09250797e+00, 5.13353813e-01,-2.30460504e-01
 1.09662698e+00, 5.12752441e-01,-2.31092417e-01
 1.10076151e+00, 5.12147482e-01,-2.31724030e-01
 1.10491164e+00, 5.11538910e-01,-2.32355324e-01
 1.10907741e+00, 5.10926700e-01,-2.32986283e-01
 1.11325888e+00, 5.10310825e-01,-2.33616889e-01
 1.11745613e+00, 5.09691262e-01,-2.34247122e-01
 1.12166919e+00, 5.09067986e-01,-2.34876967e-01
 1.12589814e+00, 5.08440974e-01,-2.35506404e-01
