omega,Re_G_variance,Im_G_variance
6.404411063343286026e-01,2.835653875612678053e-12,2.340364553860789311e-12
6.405374700998169857e-01,2.835058304910147414e-12,2.340045347714038366e-12
6.406338483646484283e-01,2.834469951612184414e-12,2.339732469059016763e-12
6.407302411310046297e-01,2.833888755401364030e-12,2.339425852973165695e-12
6.408266484010674002e-01,2.833314656337922506e-12,2.339125434931280012e-12
6.409230701770192162e-01,2.832747594893904399e-12,2.338831150884140458e-12
6.410195064610424431e-01,2.832187511788783858e-12,2.338542937199187701e-12
6.411159572553203345e-01,2.831634348233868629e-12,2.338260730643673776e-12
6.412124225620360329e-01,2.831088045697884415e-12,2.337984468473937008e-12
6.413089023833730140e-01,2.830548546011256994e-12,2.337714088254121419e-12
6.414053967215154195e-01,2.830015791563729215e-12,2.337449528056887585e-12
6.415019055786473912e-01,2.829489724766545373e-12,2.337190726377651614e-12
6.415984289569536259e-01,2.828970288658691797e-12,2.336937622070083234e-12
6.416949668586190425e-01,2.828457426450857401e-12,2.336690154440741230e-12
6.417915192858287821e-01,2.827951081839797447e-12,2.336448263189904186e-12
6.418880862407685406e-01,2.827451198774148947e-12,2.336211888405459119e-12
6.419846677256240142e-01,2.826957721628720200e-12,2.335980970631046540e-12
6.420812637425817870e-01,2.826470594958728485e-12,2.335755450748611716e-12
6.421778742938282214e-01,2.825989763884076751e-12,2.335535270094300426e-12
6.422744993815501235e-01,2.825515173691963608e-12,2.335320370356956869e-12
6.423711390079349659e-01,2.825046770104490801e-12,2.335110693715238552e-12
6.424677931751699989e-01,2.824584499068005990e-12,2.334906182582397136e-12
6.425644618854434720e-01,2.824128307055640833e-12,2.334706779886569480e-12
6.426611451409433018e-01,2.823678140681771305e-12,2.334512428900415185e-12
6.427578429438581820e-01,2.823233946876309265e-12,2.334323073293450314e-12
6.428545552963769172e-01,2.822795673140524615e-12,2.334138657141971533e-12
6.429512822006887562e-01,2.822363267056694411e-12,2.333959124843586308e-12
6.430480236589831700e-01,2.821936676637246189e-12,2.333784421227878599e-12
6.431447796734500733e-01,2.821515850149252690e-12,2.333614491460364224e-12
6.432415502462796031e-01,2.821100736300307592e-12,2.333449281169068482e-12
6.433383353796623405e-01,2.820691283981483570e-12,2.333288736221317840e-12
6.434351350757890886e-01,2.820287442488185483e-12,2.333132802998730231e-12
6.435319493368509836e-01,2.819889161402998902e-12,2.332981428115744238e-12
6.436287781650397166e-01,2.819496390630068186e-12,2.332834558631027147e-12
6.437256215625468680e-01,2.819109080406168506e-12,2.332692142025701679e-12
6.438224795315649063e-01,2.818727181218578683e-12,2.332554126017323657e-12
6.439193520742860777e-01,2.818350643932681071e-12,2.332420458755409646e-12
6.440162391929032948e-01,2.817979419651607018e-12,2.332291088752010733e-12
6.441131408896096922e-01,2.817613459762307354e-12,2.332165964838803744e-12
6.442100571665987374e-01,2.817252716167956213e-12,2.332045036261952867e-12
6.443069880260643423e-01,2.816897140774934269e-12,2.331928252554445954e-12
6.444039334702006405e-01,2.816546686074666281e-12,2.331815563662763826e-12
6.445008935012019879e-01,2.816201304595729048e-12,2.331706919835133742e-12
6.445978681212634065e-01,2.815860949322606350e-12,2.331602271679341977e-12
6.446948573325798071e-01,2.815525573485567695e-12,2.331501570172863551e-12
6.447918611373467668e-01,2.815195130571840515e-12,2.331404766593541019e-12
6.448888795377600847e-01,2.814869574511406725e-12,2.331311812614498604e-12
6.449859125360158929e-01,2.814548859397102248e-12,2.331222660224243734e-12
6.450829601343106567e-01,2.814232939658794678e-12,2.331137261726246587e-12
6.451800223348410634e-01,2.813921769865036437e-12,2.331055569770307123e-12
6.452770991398043554e-01,2.813615305188220179e-12,2.330977537447495459e-12
6.453741905513979971e-01,2.813313500763931039e-12,2.330903117966631361e-12
6.454712965718196749e-01,2.813016312144474658e-12,2.330832265024693532e-12
6.455684172032675194e-01,2.812723695228590259e-12,2.330764932674003820e-12
6.456655524479399944e-01,2.812435606144641270e-12,2.330701075168252060e-12
6.457627023080358963e-01,2.812152001192034139e-12,2.330640647174003499e-12
6.458598667857543552e-01,2.811872837120090480e-12,2.330583603627330379e-12
6.459570458832947226e-01,2.811598070825089348e-12,2.330529899865878105e-12
6.460542396028569057e-01,2.811327659536056528e-12,2.330479491469628944e-12
6.461514479466407002e-01,2.811061560767823650e-12,2.330432334392980305e-12
6.462486709168469012e-01,2.810799732309010243e-12,2.330388384879677619e-12
6.463459085156760819e-01,2.810542132163479700e-12,2.330347599478384156e-12
6.464431607453293704e-01,2.810288718631411867e-12,2.330309935063557638e-12
6.465404276080081170e-01,2.810039450285663367e-12,2.330275348861625987e-12
6.466377091059141158e-01,2.809794286006305621e-12,2.330243798334174717e-12
6.467350052412496053e-01,2.809553184840691981e-12,2.330215241304765678e-12
6.468323160162168239e-01,2.809316106154326104e-12,2.330189635900397468e-12
6.469296414330184541e-01,2.809083009572361136e-12,2.330166940503562481e-12
6.470269814938577335e-01,2.808853855107185458e-12,2.330147113905566937e-12
6.471243362009380107e-01,2.808628602751059252e-12,2.330130115105013844e-12
6.472217055564630783e-01,2.808407212964237905e-12,2.330115903424063888e-12
6.473190895626369512e-01,2.808189646418798856e-12,2.330104438486997394e-12
6.474164882216640882e-01,2.807975864079726301e-12,2.330095680267635850e-12
6.475139015357491701e-01,2.807765827030194325e-12,2.330089588935521046e-12
6.476113295070972109e-01,2.807559496715445439e-12,2.330086125025152273e-12
6.477087721379137797e-01,2.807356834849465786e-12,2.330085249382802806e-12
6.478062294304045565e-01,2.807157803356559448e-12,2.330086923070970850e-12
6.479037013867754435e-01,2.806962364347817018e-12,2.330091107489971862e-12
6.480011880092330090e-01,2.806770480341720791e-12,2.330097764345954772e-12
6.480986892999839322e-01,2.806582113915100798e-12,2.330106855587145659e-12
6.481962052612353364e-01,2.806397228028371080e-12,2.330118343472497287e-12
6.482937358951944562e-01,2.806215785816011859e-12,2.330132190555609564e-12
6.483912812040691920e-01,2.806037750702551334e-12,2.330148359615690660e-12
6.484888411900674443e-01,2.805863086344184414e-12,2.330166813837442537e-12
6.485864158553976688e-01,2.805691756547160937e-12,2.330187516535487424e-12
6.486840052022686542e-01,2.805523725534866045e-12,2.330210431366036386e-12
6.487816092328893003e-01,2.805358957633752477e-12,2.330235522347908925e-12
6.488792279494691728e-01,2.805197417284740953e-12,2.330262753581672040e-12
6.489768613542178377e-01,2.805039069554345095e-12,2.330292089641398296e-12
6.490745094493454159e-01,2.804883879332527969e-12,2.330323495256742512e-12
6.491721722370623615e-01,2.804731812029779065e-12,2.330356935450491231e-12
6.492698497195792395e-01,2.804582833065549130e-12,2.330392375533121829e-12
6.493675418991071702e-01,2.804436908274768649e-12,2.330429781086774679e-12
6.494652487778576067e-01,2.804294003628730120e-12,2.330469117922744223e-12
6.495629703580420022e-01,2.804154085246507433e-12,2.330510352144904100e-12
6.496607066418728094e-01,2.804017119708481958e-12,2.330553450154873790e-12
6.497584576315621474e-01,2.803883073661060071e-12,2.330598378545967842e-12
6.498562233293226909e-01,2.803751913886208836e-12,2.330645104240782909e-12
6.499540037373675583e-01,2.803623607580110852e-12,2.330693594348072881e-12
6.500517988579102013e-01,2.803498122074113587e-12,2.330743816284459953e-12
6.501496086931642937e-01,2.803375424939112863e-12,2.330795737753139570e-12
6.502474332453437311e-01,2.803255483962130883e-12,2.330849326643136452e-12
6.503452725166630755e-01,2.803138267041574484e-12,2.330904551129840561e-12
6.504431265093369996e-01,2.803023742489121328e-12,2.330961379674910572e-12
6.505409952255805095e-01,2.802911878704244122e-12,2.331019780946725994e-12
6.506388786676090552e-01,2.802802644348308304e-12,2.331079723846776175e-12
6.507367768376381978e-01,2.802696008297929640e-12,2.331141177636706837e-12
6.508346897378840534e-01,2.802591939528648723e-12,2.331204111657484995e-12
6.509326173705630714e-01,2.802490407474879336e-12,2.331268495631254444e-12
6.510305597378919229e-01,2.802391381553473833e-12,2.331334299491748790e-12
6.511285168420875014e-01,2.802294831453983557e-12,2.331401493426595600e-12
6.512264886853674772e-01,2.802200727115268372e-12,2.331470047765991546e-12
6.513244752699492990e-01,2.802109038713730344e-12,2.331539933258105478e-12
6.514224765980511922e-01,2.802019736523782342e-12,2.331611120745863667e-12
6.515204926718914935e-01,2.801932791080324004e-12,2.331683581362891033e-12
6.516185234936887616e-01,2.801848173178597948e-12,2.331757286506966243e-12
6.517165690656622212e-01,2.801765853746284953e-12,2.331832207771090263e-12
6.518146293900312083e-01,2.801685803913065482e-12,2.331908316985811914e-12
6.519127044690153916e-01,2.801607995068556257e-12,2.331985586266856591e-12
6.520107943048348842e-01,2.801532398711193890e-12,2.332063987930309150e-12
6.521088988997100211e-01,2.801458986692010019e-12,2.332143494481964363e-12
6.522070182558615814e-01,2.801387730866082117e-12,2.332224078717948512e-12
6.523051523755104553e-01,2.801318603394378883e-12,2.332305713639901871e-12
6.524033012608783100e-01,2.801251576685570839e-12,2.332388372492027754e-12
6.525014649141865908e-01,2.801186623244933749e-12,2.332472028723962285e-12
6.525996433376574091e-01,2.801123715836827816e-12,2.332556656043722034e-12
6.526978365335133203e-01,2.801062827403292689e-12,2.332642228364684891e-12
6.527960445039768800e-01,2.801003930982645702e-12,2.332728719768461449e-12
6.528942672512711987e-01,2.800947000011319591e-12,2.332816104685026509e-12
6.529925047776196090e-01,2.800892007882457842e-12,2.332904357654240645e-12
6.530907570852458877e-01,2.800838928433561487e-12,2.332993453527183869e-12
6.531890241763741445e-01,2.800787735423809106e-12,2.333083367232966222e-12
6.532873060532287113e-01,2.800738402986858643e-12,2.333174074101959910e-12
6.533856027180343640e-01,2.800690905398497301e-12,2.333265549537221193e-12
6.534839141730161005e-01,2.800645217123000816e-12,2.333357769242342697e-12
6.535822404203993630e-01,2.800601312731753906e-12,2.333450709083648675e-12
6.536805814624098154e-01,2.800559167100574049e-12,2.333544345159073147e-12
6.537789373012736771e-01,2.800518755200601996e-12,2.333638653792845826e-12
6.538773079392171672e-01,2.800480052260788645e-12,2.333733611508980331e-12
6.539756933784671711e-01,2.800443033605242166e-12,2.333829195015360661e-12
6.540740936212507961e-01,2.800407674815716893e-12,2.333925381293833193e-12
6.541725086697952607e-01,2.800373951603802607e-12,2.334022147457094340e-12
6.542709385263284494e-01,2.800341839915352456e-12,2.334119470907689370e-12
6.543693831930783578e-01,2.800311315733012564e-12,2.334217329168396755e-12
6.544678426722735365e-01,2.800282355447718217e-12,2.334315700035934328e-12
6.545663169661425362e-01,2.800254935417382907e-12,2.334414561469646537e-12
6.546648060769146849e-01,2.800229032315174087e-12,2.334513891655110514e-12
6.547633100068191991e-01,2.800204622885605960e-12,2.334613668935220787e-12
6.548618287580858510e-01,2.800181684118642019e-12,2.334713871937417975e-12
6.549603623329448565e-01,2.800160193179963876e-12,2.334814479430560289e-12
6.550589107336265426e-01,2.800140127259960723e-12,2.334915470330222255e-12
6.551574739623617916e-01,2.800121463945229149e-12,2.335016823884250146e-12
6.552560520213814854e-01,2.800104180858563780e-12,2.335118519412996169e-12
6.553546449129172835e-01,2.800088255798234622e-12,2.335220536489572757e-12
6.554532526392008451e-01,2.800073666900484836e-12,2.335322854908055786e-12
6.555518752024642737e-01,2.800060392058920227e-12,2.335425454572152054e-12
6.556505126049400056e-01,2.800048409737233174e-12,2.335528315638356041e-12
6.557491648488608105e-01,2.800037698516317616e-12,2.335631418484154356e-12
6.558478319364599018e-01,2.800028236815551187e-12,2.335734743559572255e-12
6.559465138699706044e-01,2.800020003670687900e-12,2.335838271620482203e-12
6.560452106516267978e-01,2.800012977955868529e-12,2.335941983580155642e-12
6.561439222836625840e-01,2.800007138882849958e-12,2.336045860514577467e-12
6.562426487683123977e-01,2.800002465687460511e-12,2.336149883694270675e-12
6.563413901078110069e-01,2.799998937803720664e-12,2.336254034579012984e-12
6.564401463043935125e-01,2.799996534991523300e-12,2.336358294812547401e-12
6.565389173602954598e-01,2.799995236941814505e-12,2.336462646249114209e-12
6.566377032777527267e-01,2.799995023624885882e-12,2.336567070868619709e-12
6.567365040590013026e-01,2.799995875104557796e-12,2.336671550866802952e-12
6.568353197062776205e-01,2.799997771735528191e-12,2.336776068623438961e-12
6.569341502218186690e-01,2.800000693838227598e-12,2.336880606659925934e-12
6.570329956078615474e-01,2.800004622023891426e-12,2.336985147766594724e-12
6.571318558666436882e-01,2.800009536997138444e-12,2.337089674785273834e-12
6.572307310004028569e-01,2.800015419637213002e-12,2.337194170847980695e-12
6.573296210113773741e-01,2.800022251032785991e-12,2.337298619180700542e-12
6.574285259018055605e-01,2.800030012296147379e-12,2.337403003182961746e-12
6.575274456739264028e-01,2.800038684830227622e-12,2.337507306544555121e-12
6.576263803299789990e-01,2.800048250038294432e-12,2.337611512980342971e-12
6.577253298722028907e-01,2.800058689637419492e-12,2.337715606453059862e-12
6.578242943028378420e-01,2.800069985344955595e-12,2.337819571088468048e-12
6.579232736241241719e-01,2.800082119203617014e-12,2.337923391191294427e-12
6.580222678383021995e-01,2.800095073163454808e-12,2.338027051192206570e-12
6.581212769476129099e-01,2.800108829546278350e-12,2.338130535706186303e-12
6.582203009542975103e-01,2.800123370639239032e-12,2.338233829543166337e-12
6.583193398605974300e-01,2.800138679043143586e-12,2.338336917665617864e-12
6.584183936687546534e-01,2.800154737428596549e-12,2.338439785215098703e-12
6.585174623810112760e-01,2.800171528512754792e-12,2.338542417438002118e-12
6.586165459996099480e-01,2.800189035372812821e-12,2.338644799807608375e-12
6.587156445267934313e-01,2.800207241004752402e-12,2.338746917933916799e-12
6.588147579648050423e-01,2.800226128683275586e-12,2.338848757590199971e-12
6.589138863158883197e-01,2.800245681741168013e-12,2.338950304702416382e-12
6.590130295822870243e-01,2.800265883766678826e-12,2.339051545391686234e-12
6.591121877662455830e-01,2.800286718382883976e-12,2.339152465900033003e-12
6.592113608700084226e-01,2.800308169340561482e-12,2.339253052611633253e-12
6.593105488958204141e-01,2.800330220692350909e-12,2.339353292100597624e-12
6.594097518459269835e-01,2.800352856363108175e-12,2.339453171099162753e-12
6.595089697225734460e-01,2.800376060660803871e-12,2.339552676497718735e-12
6.596082025280060046e-01,2.800399817881713357e-12,2.339651795339529791e-12
6.597074502644707517e-01,2.800424112519413145e-12,2.339750514762382893e-12
6.598067129342143344e-01,2.800448929171876163e-12,2.339848822141901656e-12
6.599059905394836223e-01,2.800474252599518988e-12,2.339946704942980979e-12
6.600052830825259287e-01,2.800500067713578106e-12,2.340044150815337315e-12
6.601045905655887891e-01,2.800526359483205162e-12,2.340141147572311760e-12
6.602039129909202941e-01,2.800553113051575580e-12,2.340237683121901453e-12
6.603032503607686454e-01,2.800580313642982203e-12,2.340333745535778258e-12
6.604026026773824887e-01,2.800607946818295562e-12,2.340429323113011967e-12
6.605019699430106916e-01,2.800635997964019911e-12,2.340524404167791444e-12
6.606013521599025662e-01,2.800664452814832261e-12,2.340618977278913274e-12
6.607007493303079793e-01,2.800693297151658633e-12,2.340713031066880834e-12
6.608001614564765758e-01,2.800722516836503693e-12,2.340806554379708113e-12
6.608995885406588888e-01,2.800752098033079368e-12,2.340899536160248103e-12
6.609990305851054515e-01,2.800782026800364323e-12,2.340991965525839632e-12
6.610984875920673520e-01,2.800812289452584237e-12,2.341083831709946295e-12
6.611979595637959006e-01,2.800842872477921114e-12,2.341175124051561838e-12
6.612974465025427406e-01,2.800873762364317853e-12,2.341265832138568477e-12
6.613969484105599594e-01,2.800904945831728993e-12,2.341355945606041341e-12
6.614964652900997555e-01,2.800936409623087163e-12,2.341445454237132605e-12
6.615959971434147713e-01,2.800968140678489632e-12,2.341534347973719415e-12
6.616955439727583155e-01,2.801000126030683554e-12,2.341622616900502880e-12
6.617951057803834747e-01,2.801032352828285989e-12,2.341710251207872585e-12
6.618946825685441127e-01,2.801064808347395536e-12,2.341797241234401790e-12
6.619942743394943152e-01,2.801097480014817609e-12,2.341883577488112993e-12
6.620938810954881681e-01,2.801130355303543623e-12,2.341969250540318917e-12
6.621935028387807565e-01,2.801163421930175338e-12,2.342054251147758469e-12
6.622931395716268321e-01,2.801196667587817818e-12,2.342138570178294274e-12
6.623927912962820352e-01,2.801230080155118232e-12,2.342222198642793866e-12
6.624924580150020059e-01,2.801263647626586792e-12,2.342305127673915811e-12
6.625921397300427174e-01,2.801297358042914056e-12,2.342387348510203453e-12
6.626918364436608089e-01,2.801331199700016595e-12,2.342468852575760008e-12
6.627915481581128088e-01,2.801365160928378891e-12,2.342549631352832867e-12
6.628912748756559115e-01,2.801399230116280630e-12,2.342629676530518696e-12
6.629910165985476445e-01,2.801433395872391011e-12,2.342708979856104781e-12
6.630907733290456463e-01,2.801467646851562810e-12,2.342787533220054570e-12
6.631905450694081106e-01,2.801501971859358446e-12,2.342865328656032304e-12
6.632903318218934530e-01,2.801536359724297829e-12,2.342942358282510455e-12
6.633901335887604223e-01,2.801570799541757091e-12,2.343018614377140042e-12
6.634899503722683223e-01,2.801605280395230932e-12,2.343094089350222693e-12
6.635897821746763459e-01,2.801639791495705283e-12,2.343168775675691955e-12
6.636896289982445740e-01,2.801674322228117150e-12,2.343242666018594026e-12
6.637894908452330878e-01,2.801708861930683991e-12,2.343315753118272723e-12
6.638893677179023012e-01,2.801743400289799657e-12,2.343388029841498874e-12
6.639892596185131834e-01,2.801777926852226439e-12,2.343459489161248776e-12
6.640891665493267038e-01,2.801812431431609102e-12,2.343530124204523551e-12
6.641890885126046085e-01,2.801846903922644399e-12,2.343599928178015582e-12
6.642890255106086439e-01,2.801881334266241739e-12,2.343668894426552776e-12
6.643889775456008895e-01,2.801915712542442473e-12,2.343737016406561341e-12
6.644889446198440908e-01,2.801950028947197442e-12,2.343804287680775537e-12
6.645889267356009933e-01,2.801984273815599527e-12,2.343870701928879961e-12
6.646889238951348977e-01,2.802018437528968403e-12,2.343936252968775920e-12
6.647889361007092157e-01,2.802052510468393522e-12,2.344000934660990369e-12
6.648889633545880251e-01,2.802086483363193643e-12,2.344064741068045914e-12
6.649890056590354037e-01,2.802120346896005538e-12,2.344127666273880574e-12
6.650890630163160955e-01,2.802154091795709740e-12,2.344189704569780457e-12
6.651891354286949554e-01,2.802187709023280813e-12,2.344250850273793065e-12
6.652892228984371714e-01,2.802221189597562848e-12,2.344311097852918589e-12
6.653893254278083758e-01,2.802254524513963421e-12,2.344370441870010409e-12
6.654894430190745336e-01,2.802287705104543326e-12,2.344428876983789231e-12
6.655895756745018321e-01,2.802320722585012812e-12,2.344486398001983380e-12
6.656897233963571248e-01,2.802353568356742170e-12,2.344542999785726031e-12
6.657898861869072649e-01,2.802386233937075402e-12,2.344598677339878644e-12
6.658900640484194389e-01,2.802418710843175158e-12,2.344653425733363133e-12
